mortality,study,country,strata,vaccine,period,follow_up_end,follow_up_mid,cases_placebo,N_placebo,cases_vaccine,N_vaccine
iVE_data,RV1 Colgate 2016 - Bangladesh,Bangladesh,Asia,Rotarix,Period 1,1,0.5,66,91,34,335
iVE_data,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 1,1,0.5,118,144,30,592
iVE_data,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 1,1,0.5,114,165,12,326
iVE_data,RV1 Madhi 2010-ZAFMWI,South Africa,Africa,Rotarix,Period 1,1,0.5,28,36,1,44
iVE_data,RV1 Madhi 2012-ZAF,South Africa,Africa,Rotarix,Period 1,1,0.5,56,62,1,140
iVE_data,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 1,1,0.5,104,116,4,121
iVE_data,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 1,1,0.5,52,62,1,56
iVE_data,RV1 Madhi 2010-ZAFMWI,South Africa,Africa,Rotarix,Period 1,2,1,73,77,0.5,156
iVE_data,RV1 Madhi 2012-ZAF,South Africa,Africa,Rotarix,Period 1,2,1,76,91,0.5,186
iVE_data,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 2,6,3,35,39,1,37
iVE_data,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 1,9,4.5,62,76,10,83
iVE_data,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 1,12,6,24,136,2,212
iVE_data,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 2,12,6,37,60,17,128
iVE_data,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 1,2,1,639,735,66,735
iVE_data,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 2,8,4,255,336,79,331
ive_data,RV1_Europe_Vesikari 2007 Lancet,Europe (n=6),,Rotarix,Period 1,9,4.5,3,5106,0.5,5211
VE_data,RV1_Europe_Vesikari 2007 Lancet,Europe (n=6),,Rotarix,Period 1,17,8.5,19,17919,1,17794
VE_data,RV1 Vesikari 2004b-FIN,Finland,,Rotarix,Period 1,20,10,25,36741,2,35264
VE_data,RV1 Vesikari 2004b-FIN,Finland,,Rotarix,Period 1,7,3.5,12,18862,0.5,20800
VE_data,RV1 Kawamura 2011-JPN,Japan,,Rotarix,Period 1,11,5.5,13,1929,0.5,1913
VE_data,RV1 Phua 2012-ASIA,SE Asia (n=3),,Rotarix,Period 1,14,7,14,1929,1,1913
